branches, basic workflow  : branches, processus standard
branches, managing        : branches, gestion
branches, remote          : branches, distant
branches, tracking        : branches, suivi
branches, upstream        : branches, upstream
branches, deleting remote : branches, suppression distante
branches, long-running    : branches, long cours
branches, topic           : branches, thématique

merging, conflicts        : fusionner, conflits
merging, vs. rebasing     : fusionner, vs. rebaser

git commands, mergetool   : commandes git, mergetool
git commands, branch      : commandes git, branche
git commands, checkout    : commandes git, checkout
git commands, push        : commandes git, push

rebasing, perils of       : rebaser, dangers
rebasing, vs. merging     : rebaser, vs. fusionner

references, remote        : références, distant

pushing                   : pousser

pulling                   : tirer
